"Net generation for all utility-scale solar"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=004&geo=qnifi05c03j78&sec=o3g&linechart=ELEC.GEN.SUN-US-99.M~ELEC.GEN.SUN-NV-99.M~ELEC.GEN.SUN-CA-99.M&columnchart=ELEC.GEN.SUN-US-99.M~ELEC.GEN.SUN-NV-99.M~ELEC.GEN.SUN-CA-99.M&map=ELEC.GEN.SUN-US-99.M&freq=M&start=200101&end=202012&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Wed Mar 24 2021 20:46:21 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020"
"Net generation for all utility-scale solar","thousand megawatthours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States","thousand megawatthours","ELEC.GEN.SUN-US-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States : all sectors","thousand megawatthours","ELEC.GEN.SUN-US-99.M",7,13,31,39,81,91,92,85,65,21,14,4,11,24,44,46,58,96,86,75,53,31,28,4,13,18,50,60,68,91,62,62,56,35,14,4,13,11,53,57,82,88,82,73,61,34,15,8,9,13,38,58,81,88,72,76,61,38,13,3,13,20,33,52,71,70,62,83,54,32,16,3,13,19,48,54,84,84,86,75,68,49,24,5,16,36,75,94,99,128,111,105,93,60,29,19,7,30,78,99,110,103,121,116,95,68,40,21,10,33,76,112,153,176,161,156,138,75,77,44,40,85,122,164,191,223,191,229,186,159,107,121,95,135,231,319,463,527,510,461,458,431,347,349,310,433,619,667,753,871,829,944,949,988,824,850,751,835,1317,1487,1750,1923,1788,1879,1832,1717,1380,1032,1155,1484,2072,2379,2504,2558,2627,2688,2217,1910,1730,1570,1486,2242,2617,2880,3425,3473,3945,3969,3635,3191,2767,2424,2324,2751,4514,4907,5785,6115,5569,5369,5059,4650,3209,3035,3319,3896,5056,6057,6849,7415,6755,6695,5961,4970,3743,3110,3580,3836,5899,6752,7162,7971,8133,7877,6817,6093,4364,3453,4657,5706,6496,8126,9767,9641,10478,9508,7891,7346,5895,5381
"United States : electric power",,"ELEC.GEN.SUN-US-98.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States : electric utility","thousand megawatthours","ELEC.GEN.SUN-US-1.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,0,0,0,1,1,1,2,2,1,1,1,1,0,0,1,1,2,2,2,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,5,4,4,4,5,7,10,11,11,10,10,10,9,8,7,9,13,21,17,18,13,13,19,28,21,25,19,20,21,40,49,63,78,77,66,63,59,52,52,31,43,65,67,81,94,89,101,98,105,81,88,53,61,91,98,114,127,131,130,126,124,91,72,68,87,126,145,156,153,155,159,130,114,103,98,95,135,151,169,187,188,197,207,190,182,154,139,158,194,279,307,347,344,322,322,308,283,237,246,288,314,446,480,463,503,477,476,436,418,325,290,379,403,598,667,689,662,673,640,641,574,464,395,552,631,811,923,1109,1031,1084,983,843,796,697,727
"United States : independent power producers","thousand megawatthours","ELEC.GEN.SUN-US-94.M",6,12,31,38,81,91,92,85,64,21,14,4,11,23,44,46,57,95,85,74,52,31,28,4,13,18,50,60,68,90,62,62,56,35,14,4,12,10,52,56,81,88,81,73,60,33,15,7,8,12,37,57,79,87,70,74,60,36,12,2,12,19,32,51,68,67,60,81,53,32,15,3,13,19,48,53,83,83,85,74,67,49,24,5,15,34,73,92,97,128,109,104,91,59,27,17,6,29,76,97,109,102,120,115,94,63,36,18,6,28,69,102,142,164,151,146,127,66,69,36,28,68,96,139,163,197,167,198,149,130,78,98,72,108,181,256,382,430,415,378,376,356,283,287,269,374,531,573,643,745,710,813,819,849,718,738,681,753,1196,1355,1596,1755,1618,1709,1670,1556,1260,939,1066,1372,1911,2193,2300,2359,2425,2481,2047,1762,1599,1448,1363,2065,2420,2662,3188,3229,3690,3701,3394,2965,2576,2250,2140,2523,4185,4546,5378,5708,5188,4989,4698,4323,2937,2760,3000,3549,4563,5522,6325,6845,6214,6158,5475,4508,3386,2792,3167,3395,5243,6023,6406,7236,7380,7163,6112,5466,3859,3028,4064,5026,5624,7129,8569,8524,9302,8445,6981,6488,5148,4611
"United States : all commercial","thousand megawatthours","ELEC.GEN.SUN-US-96.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,4,6,8,9,11,10,11,8,7,4,4,4,5,9,13,16,18,16,15,18,15,11,9,9,15,22,25,27,30,28,29,30,32,24,23,16,20,29,33,38,39,38,39,35,36,28,20,20,23,33,39,46,43,45,46,37,32,27,24,26,39,44,46,48,53,55,58,48,42,36,33,24,32,47,50,56,58,55,53,49,40,32,26,29,31,43,50,57,62,59,56,46,39,29,25,30,34,50,54,58,63,69,64,55,46,36,26,36,43,52,64,74,72,78,68,56,52,42,36
"United States : all industrial","thousand megawatthours","ELEC.GEN.SUN-US-97.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2,2,2,1,1,"NM",1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,3,3,3,3,2,2,2,1,2,2,3,4,4,5,5,5,4,3,3,2,2,3,4,4,5,5,5,5,4,4,3,2,4,5,7,8,9,10,10,9,8,7,5,4,5,7,8,10,14,13,14,12,11,10,8,7
"New England","thousand megawatthours","ELEC.GEN.SUN-NEW-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New England : all sectors","thousand megawatthours","ELEC.GEN.SUN-NEW-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,2,3,4,4,4,4,4,3,3,3,5,8,8,10,11,11,13,14,15,13,15,11,12,19,24,31,39,39,41,42,39,32,23,24,30,45,51,52,54,57,58,48,41,38,34,27,54,47,54,67,67,77,76,72,64,56,46,36,59,82,88,89,109,109,110,91,81,52,40,53,63,105,117,145,143,160,132,84,84,53,93,80,93,131,144,146,161,193,160,154,107,86,56,112,135,171,205,242,239,256,227,191,172,146,125
